age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity,weekend_overuse,DEI,DEI_Category
34,0,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1,0.79,0.0,17.58957654723127,0.79,24.841313131313132,Low
24,1,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1,0.7299999999999986,1.2999999999999998,24.947145877378432,0.7299999999999986,44.91170274170273,Moderate
28,0,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1,0.5200000000000014,1.0199999999999996,12.977867203219317,0.5200000000000014,51.43155122655122,Moderate
35,0,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,Moderate,0,2.75,0.0,55.42725173210162,2.75,20.4290404040404,Low
35,1,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1,2.9399999999999995,0.0,21.98905109489051,2.9399999999999995,57.097373737373736,Moderate
28,1,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1,1.4600000000000009,2.38,5.976095617529881,1.4600000000000009,61.79050505050504,Moderate
32,2,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1,1.1999999999999993,0.5300000000000002,19.83739837398374,1.1999999999999993,47.30357142857143,Moderate
34,2,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1,1.950000000000001,2.9800000000000004,13.030303030303031,1.950000000000001,66.72402597402598,High
31,2,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1,0.9799999999999996,2.9800000000000004,40.9165302782324,0.9799999999999995,55.09983405483406,Moderate
35,2,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1,2.0600000000000005,1.5599999999999996,20.697167755991288,2.0600000000000005,70.06261904761905,High
27,2,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1,2.1899999999999995,2.6399999999999997,21.11111111111111,2.1899999999999995,60.29041125541125,Moderate
18,2,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,Moderate,0,2.1899999999999995,2.05,23.21116928446771,2.1899999999999995,42.21367965367966,Moderate
20,1,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1,1.0600000000000005,0.0,14.414414414414416,1.0600000000000005,34.94757575757576,Moderate
25,1,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1,2.3000000000000007,0.0,14.080944350758854,2.3000000000000007,64.60328282828283,Moderate
22,2,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1,0.9399999999999996,3.0199999999999996,14.382022471910112,0.9399999999999995,49.59795093795094,Moderate
25,1,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1,1.290000000000001,1.1100000000000003,14.476021314387213,1.290000000000001,45.99553391053391,Moderate
33,1,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1,1.1000000000000003,0.0,20.425531914893615,1.1000000000000005,45.32272727272727,Moderate
26,0,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1,0.6600000000000001,1.7800000000000002,9.800664451827243,0.6600000000000001,45.67405483405483,Moderate
19,0,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0,1.4499999999999993,0.3700000000000001,49.17695473251028,1.4499999999999993,32.69761904761905,Low
31,2,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1,1.7100000000000009,1.2999999999999998,11.35204081632653,1.7100000000000009,57.45443001443,Moderate
23,0,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1,2.16,0.0,16.193181818181817,2.16,68.83999999999999,High
23,0,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,Moderate,0,2.38,0.07000000000000028,33.91304347826087,2.38,21.295,Low
18,2,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1,2.390000000000001,3.1900000000000004,19.096509240246405,2.3900000000000006,62.84286435786436,Moderate
22,0,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,Moderate,0,0.92,1.4100000000000001,16.504854368932037,0.9199999999999999,31.066435786435786,Low
21,2,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1,0.6899999999999995,1.8099999999999996,24.725943970767357,0.6899999999999995,60.34124098124097,Moderate
27,1,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1,1.5700000000000005,0.0,10.140845070422534,1.5700000000000003,50.23,Moderate
31,0,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1,1.59,0.0,19.32692307692308,1.5899999999999999,45.37414141414141,Moderate
31,1,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1,1.1099999999999994,0.0,8.724832214765101,1.1099999999999994,49.377626262626265,Moderate
33,1,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1,2.25,1.9699999999999998,22.98311444652908,2.25,54.71648629148629,Moderate
25,0,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1,2.4800000000000004,0.5899999999999999,15.295358649789028,2.4800000000000004,56.29370129870129,Moderate
25,0,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0,1.33,1.5899999999999999,36.458333333333336,1.33,42.40950216450216,Moderate
26,2,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1,0.9799999999999996,0.0,38.65877712031558,0.9799999999999995,31.16545454545454,Low
34,1,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1,2.2700000000000014,1.88,11.589008363201913,2.2700000000000014,71.53119047619047,High
35,1,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1,1.21,3.04,4.085257548845471,1.21,60.405115440115445,Moderate
19,1,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1,2.2200000000000006,1.29,31.6888045540797,2.2200000000000006,45.774660894660904,Moderate
25,0,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1,1.63,2.4800000000000004,37.59213759213759,1.63,48.018448773448775,Moderate
19,1,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1,0.8900000000000006,2.55,22.261484098939928,0.8900000000000006,65.45642857142857,Moderate
31,0,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0,0.6800000000000006,0.3200000000000003,28.22695035460993,0.6800000000000006,36.087207792207785,Moderate
21,1,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1,1.99,3.1799999999999997,7.848101265822785,1.9900000000000002,68.4438023088023,High
32,1,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1,0.6000000000000014,1.2800000000000002,4.347826086956522,0.6000000000000014,58.75039682539682,Moderate
20,0,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1,1.9400000000000004,3.41,42.4901185770751,1.9400000000000004,58.72046176046176,Moderate
23,0,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1,1.299999999999999,1.38,10.359231411862991,1.299999999999999,65.02813852813853,Moderate
33,0,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1,1.3100000000000005,1.4500000000000002,17.88908765652952,1.3100000000000005,53.359300144300136,Moderate
19,1,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0,1.8699999999999992,0.08000000000000007,15.351812366737738,1.8699999999999992,29.129819624819618,Low
18,2,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1,0.7300000000000004,1.0199999999999996,13.690476190476192,0.7300000000000004,58.44251082251082,Moderate
22,2,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1,1.6400000000000006,0.0,18.69158878504673,1.6400000000000006,45.030202020202026,Moderate
34,2,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1,1.17,0.0,11.008230452674896,1.17,32.92242424242425,Low
33,1,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1,2.83,0.07000000000000028,10.750695088044486,2.83,56.04626262626261,Moderate
31,1,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1,1.7399999999999998,1.7599999999999998,55.75221238938053,1.7399999999999998,42.22017316017316,Moderate
32,2,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1,1.6700000000000004,0.0,15.128205128205128,1.6700000000000004,31.10272727272727,Low
20,2,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1,2.68,2.08,19.025304592314903,2.6799999999999997,80.35167388167388,High
27,1,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1,1.6099999999999994,0.6500000000000004,20.28380634390651,1.6099999999999994,66.10832611832612,High
28,0,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1,0.92,1.1100000000000003,16.125860373647985,0.9199999999999999,46.97437229437229,Moderate
22,0,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1,2.1900000000000004,0.0,27.308447937131632,2.1900000000000004,35.44232323232323,Moderate
27,2,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1,0.7699999999999996,2.5999999999999996,13.485714285714286,0.7699999999999996,51.38916305916305,Moderate
27,1,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1,2.78,0.0,68.4375,2.7800000000000002,34.62050505050505,Moderate
29,0,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0,2.0700000000000003,0.04999999999999982,39.034205231388334,2.0700000000000003,21.499552669552667,Low
19,1,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1,0.8300000000000001,0.13999999999999968,7.78588807785888,0.8300000000000001,41.63818181818182,Moderate
26,2,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1,1.67,0.0,20.03561887800534,1.67,69.95146464646464,High
30,2,11.71,4.93,1.46,4.85,4.56,157,46,13.35,High,No,Severe,1,1.6399999999999988,3.4400000000000004,13.407344150298888,1.6399999999999988,81.87572871572871,High
29,2,3.98,1.79,0.1,5.36,7.03,176,71,6.1,High,No,Mild,0,2.12,0.9699999999999998,44.221105527638194,2.1199999999999997,21.947604617604615,Low
31,2,4.05,0.75,0.15,5.98,5.02,80,152,4.89,Medium,No,Mild,0,0.8399999999999999,2.9800000000000004,19.75308641975309,0.8399999999999999,23.983268398268397,Low
22,1,10.97,4.1,3.33,3.89,8.73,91,23,13.2,Low,No,Severe,1,2.229999999999998,0.0,8.295350957155879,2.2299999999999986,62.603080808080804,Moderate
29,2,3.89,4.27,2.18,5.88,6.11,121,85,4.86,Low,No,Moderate,1,0.9700000000000002,1.8899999999999997,31.105398457583547,0.9700000000000002,38.727474747474744,Moderate
24,1,8.78,3.78,0.09,4.83,5.6,52,159,9.79,High,Yes,Moderate,1,1.0099999999999998,2.4000000000000004,5.922551252847381,1.0099999999999998,53.3661544011544,Moderate
28,1,9.97,4.84,2.38,2.03,8.93,53,153,11.1,Low,Yes,Moderate,1,1.129999999999999,0.0,5.315947843530592,1.129999999999999,55.30282828282827,Moderate
18,0,6.22,4.84,2.36,0.59,5.69,52,122,8.04,High,Yes,Severe,1,1.8199999999999996,2.3099999999999996,8.360128617363344,1.8199999999999994,56.62949494949494,Moderate
29,0,7.62,1.1,2.02,5.7,4.7,220,148,8.87,High,Yes,Mild,0,1.2499999999999991,3.3,28.871391076115486,1.2499999999999991,47.601082251082246,Moderate
30,0,6.84,1.09,2.85,2.94,8.55,102,170,7.71,Low,No,Moderate,1,0.8700000000000001,0.0,14.912280701754389,0.8700000000000001,26.220151515151514,Low
34,1,5.65,3.28,1.72,4.86,5.01,187,156,7.95,Low,No,Mild,0,2.3,2.99,33.097345132743364,2.3,51.52763347763347,Moderate
31,1,6.05,2.99,1.66,1.02,6.42,190,80,7.49,Low,No,Mild,0,1.4400000000000004,1.58,31.40495867768595,1.4400000000000004,40.117864357864356,Moderate
20,0,3.84,1.03,2.96,4.96,7.0,170,158,5.74,High,Yes,Mild,0,1.9000000000000004,1.0,44.270833333333336,1.9000000000000004,24.39004329004329,Low
31,1,10.81,4.47,3.87,3.8,6.08,167,144,11.84,High,No,Moderate,1,1.0299999999999994,1.92,15.448658649398704,1.0299999999999994,71.18410533910534,High
29,1,10.61,2.52,3.05,3.66,8.13,236,158,13.55,High,Yes,Severe,1,2.9400000000000013,0.0,22.243166823751174,2.9400000000000013,56.16126262626262,Moderate
23,1,5.46,4.69,3.69,2.43,5.32,56,159,7.6,Low,Yes,Moderate,1,2.14,2.6799999999999997,10.256410256410255,2.1399999999999997,59.711406926406916,Moderate
34,2,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,Moderate,0,1.9899999999999995,0.25,44.12955465587044,1.9899999999999993,28.83301587301587,Low
19,1,9.07,2.0,2.65,3.17,6.49,89,70,11.46,Low,No,Severe,1,2.390000000000001,1.5099999999999998,9.812568908489526,2.3900000000000006,53.2373088023088,Moderate
27,0,9.1,3.76,2.11,2.2,5.49,173,29,9.62,Medium,Yes,Moderate,1,0.5199999999999996,2.51,19.01098901098901,0.5199999999999996,58.23826118326119,Moderate
27,0,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,Moderate,0,1.75,1.79,33.61344537815126,1.75,34.35761183261184,Moderate
19,0,6.93,3.03,0.31,2.22,6.43,123,178,8.47,Low,No,Mild,0,1.540000000000001,1.5700000000000003,17.748917748917748,1.540000000000001,40.6897619047619,Moderate
23,0,10.21,3.9,3.33,5.56,4.9,236,42,11.32,High,No,Moderate,1,1.1099999999999994,3.0999999999999996,23.114593535749265,1.1099999999999994,71.97272005772005,High
27,1,9.71,1.72,3.12,0.92,7.35,155,145,10.69,Medium,No,Moderate,1,0.9799999999999986,0.6500000000000004,15.962924819773429,0.9799999999999986,45.0741847041847,Moderate
21,2,4.32,1.58,2.41,4.68,7.45,65,175,6.06,High,No,Mild,0,1.739999999999999,0.5499999999999998,15.046296296296296,1.7399999999999993,24.17028138528138,Low
28,1,4.36,0.88,1.77,2.17,5.74,34,105,6.13,Medium,No,Mild,0,1.7699999999999996,2.26,7.798165137614678,1.7699999999999996,29.435447330447328,Low
19,2,6.32,2.08,2.58,5.88,4.91,172,144,7.78,High,Yes,Moderate,1,1.46,3.09,27.21518987341772,1.46,48.040072150072156,Moderate
24,1,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,Moderate,0,2.96,3.0300000000000002,42.44482173174873,2.96,51.802265512265514,Moderate
32,1,11.92,3.38,2.44,2.5,8.63,119,119,14.36,High,Yes,Severe,1,2.4399999999999995,0.0,9.983221476510067,2.4399999999999995,61.63979797979798,Moderate
28,0,3.85,4.23,1.14,4.48,7.45,174,53,5.18,High,Yes,Severe,1,1.3299999999999996,0.5499999999999998,45.19480519480519,1.3299999999999996,29.572958152958144,Low
30,2,4.16,4.4,0.34,3.57,7.4,104,47,6.34,High,Yes,Severe,1,2.18,0.5999999999999996,25.0,2.1799999999999997,33.23695526695526,Moderate
29,1,3.16,2.2,3.8,2.38,7.95,69,72,6.16,Low,Yes,Mild,0,3.0,0.04999999999999982,21.83544303797468,3.0,28.13520923520923,Low
34,1,9.94,5.09,3.53,0.71,6.02,216,173,10.77,Medium,Yes,Moderate,1,0.8300000000000001,1.9800000000000004,21.730382293762577,0.8300000000000001,69.31181096681097,High
23,0,9.49,0.74,1.46,4.46,8.86,176,87,11.87,Medium,Yes,Moderate,1,2.379999999999999,0.0,18.54583772391992,2.379999999999999,37.499797979797975,Moderate
33,1,11.14,1.57,2.71,3.64,6.48,216,87,13.59,High,No,Moderate,1,2.4499999999999997,1.5199999999999996,19.389587073608617,2.4499999999999993,59.77990620490621,Moderate
22,0,10.86,0.79,1.92,2.54,8.7,202,147,13.49,Medium,Yes,Moderate,1,2.630000000000001,0.0,18.60036832412523,2.630000000000001,45.20484848484848,Moderate
32,2,11.15,1.31,1.75,5.71,5.5,135,104,13.98,Medium,Yes,Severe,1,2.83,2.5,12.10762331838565,2.83,63.3569769119769,Moderate
29,0,5.12,5.97,1.5,0.66,8.69,234,100,7.6,Low,Yes,Severe,1,2.4799999999999995,0.0,45.703125,2.4799999999999995,44.7780808080808,Moderate
22,0,9.83,3.08,2.46,5.48,4.59,75,53,11.7,High,No,Moderate,1,1.8699999999999992,3.41,7.62970498474059,1.8699999999999992,69.40409812409813,High
25,0,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,Moderate,0,1.99,1.4400000000000004,8.40630472854641,1.9900000000000002,30.109278499278496,Low
31,0,3.01,2.44,2.28,1.53,7.51,154,107,3.68,High,Yes,Mild,0,0.6700000000000004,0.4900000000000002,51.16279069767442,0.6700000000000004,18.03707070707071,Low
19,1,8.72,5.9,1.01,0.59,8.05,108,76,11.05,High,Yes,Severe,1,2.33,0.0,12.38532110091743,2.33,56.634898989899,Moderate
19,1,6.17,2.36,2.57,5.07,7.58,198,137,8.25,Low,Yes,Moderate,1,2.08,0.41999999999999993,32.090761750405186,2.08,35.92732323232323,Moderate
27,0,4.81,4.85,3.54,2.24,5.9,121,154,6.49,Low,Yes,Severe,1,1.6800000000000006,2.0999999999999996,25.15592515592516,1.6800000000000006,52.381616161616165,Moderate
19,0,10.79,2.33,0.5,2.52,8.5,210,127,13.53,Medium,No,Moderate,1,2.74,0.0,19.462465245597777,2.74,48.82262626262626,Moderate
33,1,6.31,4.89,1.07,0.95,6.41,130,169,9.3,Low,No,Severe,1,2.990000000000001,1.5899999999999999,20.60221870047544,2.990000000000001,54.54748196248196,Moderate
20,0,5.95,2.13,1.78,4.45,5.25,133,104,7.57,High,No,Mild,0,1.62,2.75,22.352941176470587,1.62,43.52559884559885,Moderate
19,1,3.68,4.01,1.45,4.91,7.56,27,51,6.3,High,No,Moderate,1,2.62,0.4400000000000004,7.33695652173913,2.6199999999999997,33.21827561327561,Moderate
20,2,5.12,4.05,1.45,5.72,4.65,59,130,7.99,Medium,No,Moderate,1,2.87,3.3499999999999996,11.5234375,2.87,56.62866522366522,Moderate
22,0,7.77,2.69,2.6,1.87,5.01,208,62,9.52,Medium,Yes,Moderate,1,1.75,2.99,26.76962676962677,1.75,57.09025974025974,Moderate
32,2,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,Moderate,0,1.63,2.5999999999999996,10.953346855983774,1.63,49.15088023088023,Moderate
28,1,9.01,4.4,2.2,2.1,5.85,60,178,9.95,Medium,Yes,Moderate,1,0.9399999999999996,2.1500000000000004,6.659267480577137,0.9399999999999995,60.64520923520923,Moderate
22,0,5.13,3.22,1.44,3.65,6.6,161,48,7.16,Low,Yes,Mild,0,2.03,1.4000000000000004,31.38401559454191,2.0300000000000002,38.3669696969697,Moderate
33,2,7.73,4.73,3.29,0.91,8.88,184,33,9.35,High,No,Moderate,1,1.6199999999999992,0.0,23.803363518758083,1.6199999999999992,50.32671717171717,Moderate
23,0,9.91,1.21,2.01,5.28,8.24,152,54,11.17,Low,No,Moderate,1,1.2599999999999998,0.0,15.338042381432896,1.2599999999999998,38.16449494949495,Moderate
34,2,11.05,5.15,1.0,3.99,6.98,52,175,12.31,High,Yes,Moderate,1,1.2599999999999998,1.0199999999999996,4.705882352941176,1.2599999999999998,63.810490620490626,Moderate
22,2,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,Moderate,0,0.7000000000000002,0.0,6.607929515418502,0.7000000000000002,31.404797979797983,Low
31,0,8.56,0.67,3.56,3.5,7.39,97,138,9.67,High,No,Severe,1,1.1099999999999994,0.6100000000000003,11.331775700934578,1.1099999999999994,37.22066378066378,Moderate
20,1,9.2,1.37,1.66,3.05,6.03,56,95,11.85,Medium,No,Severe,1,2.6500000000000004,1.9699999999999998,6.086956521739131,2.6500000000000004,52.072799422799406,Moderate
29,1,7.63,1.08,0.97,1.17,6.52,56,39,8.26,Medium,No,Mild,0,0.6299999999999999,1.4800000000000004,7.339449541284404,0.6299999999999999,32.04406204906205,Low
28,0,11.4,4.47,0.76,1.38,8.98,139,142,14.1,Medium,Yes,Moderate,1,2.6999999999999997,0.0,12.192982456140353,2.6999999999999993,61.41212121212121,Moderate
34,1,7.12,1.82,2.33,0.77,5.77,172,135,8.33,Low,Yes,Moderate,1,1.21,2.2300000000000004,24.157303370786515,1.21,43.430079365079365,Moderate
26,2,9.55,4.7,1.46,2.7,7.07,69,107,11.43,Low,No,Severe,1,1.879999999999999,0.9299999999999997,7.225130890052355,1.879999999999999,59.04741702741701,Moderate
26,2,10.43,3.93,2.44,1.21,4.94,115,101,12.32,Medium,Yes,Moderate,1,1.8900000000000008,3.0599999999999996,11.02588686481304,1.8900000000000006,73.63106782106782,High
34,2,6.61,0.72,0.16,4.42,8.12,152,131,7.48,High,Yes,Moderate,1,0.8700000000000001,0.0,22.995461422087743,0.8700000000000001,16.91888888888889,Low
28,1,4.46,5.95,2.96,2.15,6.01,232,145,6.29,High,No,Severe,1,1.83,1.9900000000000002,52.01793721973094,1.83,54.54193362193362,Moderate
29,2,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,Moderate,0,0.5699999999999994,0.0,40.63545150501672,0.5699999999999994,18.771161616161617,Low
19,1,8.25,1.44,2.52,3.91,8.29,57,77,8.83,High,Yes,Moderate,1,0.5800000000000001,0.0,6.909090909090909,0.5800000000000001,31.309393939393935,Low
32,2,5.82,1.33,2.76,2.76,7.99,140,30,8.08,High,Yes,Mild,0,2.26,0.009999999999999787,24.054982817869416,2.26,28.73653679653679,Low
33,1,7.73,2.23,0.69,5.52,6.04,110,179,10.24,Medium,No,Mild,0,2.51,1.96,14.230271668822768,2.51,47.2230808080808,Moderate
26,1,8.02,1.74,3.89,2.14,5.8,73,140,9.31,Medium,No,Severe,1,1.290000000000001,2.2,9.102244389027431,1.290000000000001,50.615014430014426,Moderate
35,0,6.42,5.89,3.27,5.75,8.12,94,25,7.64,High,Yes,Severe,1,1.2199999999999998,0.0,14.641744548286605,1.2199999999999998,48.85499999999999,Moderate
26,1,9.73,1.68,3.31,1.99,7.03,89,50,10.5,High,Yes,Moderate,1,0.7699999999999996,0.9699999999999998,9.146968139773897,0.7699999999999996,46.43371572871573,Moderate
34,2,5.03,1.78,0.4,2.32,6.63,194,50,5.54,High,Yes,Mild,0,0.5099999999999998,1.37,38.56858846918489,0.5099999999999998,22.58119769119769,Low
33,0,7.3,1.6,3.86,2.27,7.41,216,37,9.43,Low,Yes,Mild,0,2.13,0.5899999999999999,29.58904109589041,2.13,41.26365079365079,Moderate
23,0,11.41,0.7,3.34,4.83,5.34,211,89,14.1,Low,No,Moderate,1,2.6899999999999995,2.66,18.49255039439089,2.6899999999999995,65.92464646464647,Moderate
27,2,7.09,4.03,2.1,5.39,5.1,149,134,8.27,Low,No,Moderate,1,1.1799999999999995,2.9000000000000004,21.01551480959097,1.1799999999999997,56.492438672438674,Moderate
32,2,8.83,4.45,0.06,2.35,5.83,192,64,9.77,High,No,Severe,1,0.9399999999999996,2.17,21.7440543601359,0.9399999999999995,54.93676767676767,Moderate
