age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity
21,1,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,Moderate,0,0.75,0.21999999999999975,49.61240310077519
24,2,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,Moderate,0,2.5200000000000005,2.38,8.280254777070065
35,0,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1,1.0300000000000011,2.75,13.688212927756654
18,0,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1,2.1500000000000004,1.5999999999999996,17.43892165122157
24,2,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1,1.7599999999999998,3.24,14.419795221843003
20,0,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1,1.1199999999999992,1.6799999999999997,23.170731707317074
34,0,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,Moderate,0,1.25,2.3,9.05982905982906
21,2,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0,1.42,-0.46000000000000085,66.93989071038251
34,0,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1,0.79,-0.7300000000000004,17.58957654723127
24,1,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1,0.7299999999999986,1.2999999999999998,24.947145877378432
28,0,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1,0.5200000000000014,1.0199999999999996,12.977867203219317
35,0,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,Moderate,0,2.75,-0.08000000000000007,55.42725173210162
35,1,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1,2.9399999999999995,-0.6799999999999997,21.98905109489051
28,1,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1,1.4600000000000009,2.38,5.976095617529881
32,2,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1,1.1999999999999993,0.5300000000000002,19.83739837398374
34,2,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1,1.950000000000001,2.9800000000000004,13.030303030303031
31,2,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1,0.9799999999999995,2.9800000000000004,40.9165302782324
35,2,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1,2.0600000000000005,1.5599999999999996,20.697167755991288
27,2,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1,2.1899999999999995,2.6399999999999997,21.11111111111111
18,2,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,Moderate,0,2.1899999999999995,2.05,23.21116928446771
20,1,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1,1.0600000000000005,-0.7799999999999994,14.414414414414415
25,1,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1,2.3000000000000007,-0.4900000000000002,14.080944350758854
22,2,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1,0.9399999999999995,3.0199999999999996,14.382022471910112
25,1,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1,1.290000000000001,1.1100000000000003,14.476021314387213
33,1,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1,1.1000000000000005,0.0,20.425531914893618
26,0,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1,0.6600000000000001,1.7800000000000002,9.800664451827243
19,0,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0,1.4499999999999993,0.3700000000000001,49.17695473251028
31,2,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1,1.7100000000000009,1.2999999999999998,11.35204081632653
23,0,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1,2.16,-0.5800000000000001,16.193181818181817
23,0,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,Moderate,0,2.38,0.07000000000000028,33.91304347826087
18,2,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1,2.3900000000000006,3.1900000000000004,19.096509240246405
22,0,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,Moderate,0,0.9199999999999999,1.4100000000000001,16.504854368932037
21,2,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1,0.6899999999999995,1.8099999999999996,24.725943970767354
27,1,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1,1.5700000000000003,-0.019999999999999574,10.140845070422534
31,0,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1,1.5899999999999999,-0.23000000000000043,19.326923076923077
31,1,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1,1.1099999999999994,-0.7100000000000009,8.724832214765101
33,1,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1,2.25,1.9699999999999998,22.98311444652908
25,0,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1,2.4800000000000004,0.5899999999999999,15.295358649789028
25,0,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0,1.33,1.5899999999999999,36.458333333333336
26,2,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1,0.9799999999999995,-0.7799999999999994,38.65877712031558
34,1,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1,2.2700000000000014,1.88,11.589008363201913
35,1,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1,1.21,3.04,4.085257548845471
19,1,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1,2.2200000000000006,1.29,31.6888045540797
25,0,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1,1.63,2.4800000000000004,37.59213759213759
19,1,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1,0.8900000000000006,2.55,22.261484098939928
31,0,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0,0.6800000000000006,0.3200000000000003,28.22695035460993
21,1,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1,1.9900000000000002,3.1799999999999997,7.848101265822785
32,1,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1,0.6000000000000014,1.2800000000000002,4.347826086956522
20,0,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1,1.9400000000000004,3.41,42.4901185770751
23,0,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1,1.299999999999999,1.38,10.359231411862991
33,0,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1,1.3100000000000005,1.4500000000000002,17.88908765652952
19,1,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0,1.8699999999999992,0.08000000000000007,15.351812366737738
18,2,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1,0.7300000000000004,1.0199999999999996,13.690476190476192
22,2,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1,1.6400000000000006,-0.2599999999999998,18.69158878504673
34,2,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1,1.17,-0.33999999999999986,11.008230452674896
33,1,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1,2.83,0.07000000000000028,10.750695088044486
31,1,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1,1.7399999999999998,1.7599999999999998,55.75221238938053
32,2,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1,1.6700000000000004,-0.41999999999999993,15.128205128205128
20,2,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1,2.6799999999999997,2.08,19.025304592314903
27,1,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1,1.6099999999999994,0.6500000000000004,20.28380634390651
28,0,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1,0.9199999999999999,1.1100000000000003,16.125860373647985
22,0,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1,2.1900000000000004,-0.5500000000000007,27.308447937131632
27,2,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1,0.7699999999999996,2.5999999999999996,13.485714285714286
27,1,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1,2.7800000000000002,-0.39000000000000057,68.4375
29,0,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0,2.0700000000000003,0.04999999999999982,39.034205231388334
19,1,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1,0.8300000000000001,0.13999999999999968,7.78588807785888
26,2,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1,1.67,-0.41999999999999993,20.03561887800534
30,2,11.71,4.93,1.46,4.85,4.56,157,46,13.35,High,No,Severe,1,1.6399999999999988,3.4400000000000004,13.407344150298888
29,2,3.98,1.79,0.1,5.36,7.03,176,71,6.1,High,No,Mild,0,2.1199999999999997,0.9699999999999998,44.221105527638194
31,2,4.05,0.75,0.15,5.98,5.02,80,152,4.89,Medium,No,Mild,0,0.8399999999999999,2.9800000000000004,19.75308641975309
22,1,10.97,4.1,3.33,3.89,8.73,91,23,13.2,Low,No,Severe,1,2.2299999999999986,-0.7300000000000004,8.295350957155879
29,2,3.89,4.27,2.18,5.88,6.11,121,85,4.86,Low,No,Moderate,1,0.9700000000000002,1.8899999999999997,31.105398457583547
24,1,8.78,3.78,0.09,4.83,5.6,52,159,9.79,High,Yes,Moderate,1,1.0099999999999998,2.4000000000000004,5.922551252847381
28,1,9.97,4.84,2.38,2.03,8.93,53,153,11.1,Low,Yes,Moderate,1,1.129999999999999,-0.9299999999999997,5.315947843530592
18,0,6.22,4.84,2.36,0.59,5.69,52,122,8.04,High,Yes,Severe,1,1.8199999999999994,2.3099999999999996,8.360128617363344
29,0,7.62,1.1,2.02,5.7,4.7,220,148,8.87,High,Yes,Mild,0,1.2499999999999991,3.3,28.871391076115486
30,0,6.84,1.09,2.85,2.94,8.55,102,170,7.71,Low,No,Moderate,1,0.8700000000000001,-0.5500000000000007,14.912280701754387
34,1,5.65,3.28,1.72,4.86,5.01,187,156,7.95,Low,No,Mild,0,2.3,2.99,33.097345132743364
31,1,6.05,2.99,1.66,1.02,6.42,190,80,7.49,Low,No,Mild,0,1.4400000000000004,1.58,31.40495867768595
20,0,3.84,1.03,2.96,4.96,7.0,170,158,5.74,High,Yes,Mild,0,1.9000000000000004,1.0,44.270833333333336
31,1,10.81,4.47,3.87,3.8,6.08,167,144,11.84,High,No,Moderate,1,1.0299999999999994,1.92,15.448658649398704
29,1,10.61,2.52,3.05,3.66,8.13,236,158,13.55,High,Yes,Severe,1,2.9400000000000013,-0.13000000000000078,22.243166823751178
23,1,5.46,4.69,3.69,2.43,5.32,56,159,7.6,Low,Yes,Moderate,1,2.1399999999999997,2.6799999999999997,10.256410256410257
34,2,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,Moderate,0,1.9899999999999993,0.25,44.12955465587044
19,1,9.07,2.0,2.65,3.17,6.49,89,70,11.46,Low,No,Severe,1,2.3900000000000006,1.5099999999999998,9.812568908489526
27,0,9.1,3.76,2.11,2.2,5.49,173,29,9.62,Medium,Yes,Moderate,1,0.5199999999999996,2.51,19.01098901098901
27,0,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,Moderate,0,1.75,1.79,33.61344537815126
19,0,6.93,3.03,0.31,2.22,6.43,123,178,8.47,Low,No,Mild,0,1.540000000000001,1.5700000000000003,17.748917748917748
23,0,10.21,3.9,3.33,5.56,4.9,236,42,11.32,High,No,Moderate,1,1.1099999999999994,3.0999999999999996,23.114593535749265
27,1,9.71,1.72,3.12,0.92,7.35,155,145,10.69,Medium,No,Moderate,1,0.9799999999999986,0.6500000000000004,15.962924819773429
21,2,4.32,1.58,2.41,4.68,7.45,65,175,6.06,High,No,Mild,0,1.7399999999999993,0.5499999999999998,15.046296296296296
28,1,4.36,0.88,1.77,2.17,5.74,34,105,6.13,Medium,No,Mild,0,1.7699999999999996,2.26,7.798165137614678
19,2,6.32,2.08,2.58,5.88,4.91,172,144,7.78,High,Yes,Moderate,1,1.46,3.09,27.21518987341772
24,1,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,Moderate,0,2.96,3.0300000000000002,42.44482173174873
32,1,11.92,3.38,2.44,2.5,8.63,119,119,14.36,High,Yes,Severe,1,2.4399999999999995,-0.6300000000000008,9.983221476510067
28,0,3.85,4.23,1.14,4.48,7.45,174,53,5.18,High,Yes,Severe,1,1.3299999999999996,0.5499999999999998,45.19480519480519
30,2,4.16,4.4,0.34,3.57,7.4,104,47,6.34,High,Yes,Severe,1,2.1799999999999997,0.5999999999999996,25.0
29,1,3.16,2.2,3.8,2.38,7.95,69,72,6.16,Low,Yes,Mild,0,3.0,0.04999999999999982,21.83544303797468
34,1,9.94,5.09,3.53,0.71,6.02,216,173,10.77,Medium,Yes,Moderate,1,0.8300000000000001,1.9800000000000004,21.730382293762577
23,0,9.49,0.74,1.46,4.46,8.86,176,87,11.87,Medium,Yes,Moderate,1,2.379999999999999,-0.8599999999999994,18.545837723919917
33,1,11.14,1.57,2.71,3.64,6.48,216,87,13.59,High,No,Moderate,1,2.4499999999999993,1.5199999999999996,19.389587073608617
22,0,10.86,0.79,1.92,2.54,8.7,202,147,13.49,Medium,Yes,Moderate,1,2.630000000000001,-0.6999999999999993,18.60036832412523
32,2,11.15,1.31,1.75,5.71,5.5,135,104,13.98,Medium,Yes,Severe,1,2.83,2.5,12.10762331838565
29,0,5.12,5.97,1.5,0.66,8.69,234,100,7.6,Low,Yes,Severe,1,2.4799999999999995,-0.6899999999999995,45.703125
22,0,9.83,3.08,2.46,5.48,4.59,75,53,11.7,High,No,Moderate,1,1.8699999999999992,3.41,7.62970498474059
25,0,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,Moderate,0,1.9900000000000002,1.4400000000000004,8.40630472854641
31,0,3.01,2.44,2.28,1.53,7.51,154,107,3.68,High,Yes,Mild,0,0.6700000000000004,0.4900000000000002,51.162790697674424
19,1,8.72,5.9,1.01,0.59,8.05,108,76,11.05,High,Yes,Severe,1,2.33,-0.05000000000000071,12.38532110091743
19,1,6.17,2.36,2.57,5.07,7.58,198,137,8.25,Low,Yes,Moderate,1,2.08,0.41999999999999993,32.090761750405186
27,0,4.81,4.85,3.54,2.24,5.9,121,154,6.49,Low,Yes,Severe,1,1.6800000000000006,2.0999999999999996,25.155925155925157
19,0,10.79,2.33,0.5,2.52,8.5,210,127,13.53,Medium,No,Moderate,1,2.74,-0.5,19.462465245597777
33,1,6.31,4.89,1.07,0.95,6.41,130,169,9.3,Low,No,Severe,1,2.990000000000001,1.5899999999999999,20.602218700475436
20,0,5.95,2.13,1.78,4.45,5.25,133,104,7.57,High,No,Mild,0,1.62,2.75,22.352941176470587
19,1,3.68,4.01,1.45,4.91,7.56,27,51,6.3,High,No,Moderate,1,2.6199999999999997,0.4400000000000004,7.33695652173913
20,2,5.12,4.05,1.45,5.72,4.65,59,130,7.99,Medium,No,Moderate,1,2.87,3.3499999999999996,11.5234375
22,0,7.77,2.69,2.6,1.87,5.01,208,62,9.52,Medium,Yes,Moderate,1,1.75,2.99,26.769626769626772
32,2,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,Moderate,0,1.63,2.5999999999999996,10.953346855983774
28,1,9.01,4.4,2.2,2.1,5.85,60,178,9.95,Medium,Yes,Moderate,1,0.9399999999999995,2.1500000000000004,6.659267480577137
22,0,5.13,3.22,1.44,3.65,6.6,161,48,7.16,Low,Yes,Mild,0,2.0300000000000002,1.4000000000000004,31.38401559454191
33,2,7.73,4.73,3.29,0.91,8.88,184,33,9.35,High,No,Moderate,1,1.6199999999999992,-0.8800000000000008,23.803363518758083
23,0,9.91,1.21,2.01,5.28,8.24,152,54,11.17,Low,No,Moderate,1,1.2599999999999998,-0.2400000000000002,15.338042381432896
34,2,11.05,5.15,1.0,3.99,6.98,52,175,12.31,High,Yes,Moderate,1,1.2599999999999998,1.0199999999999996,4.705882352941176
22,2,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,Moderate,0,0.7000000000000002,-0.6600000000000001,6.607929515418502
31,0,8.56,0.67,3.56,3.5,7.39,97,138,9.67,High,No,Severe,1,1.1099999999999994,0.6100000000000003,11.331775700934578
20,1,9.2,1.37,1.66,3.05,6.03,56,95,11.85,Medium,No,Severe,1,2.6500000000000004,1.9699999999999998,6.086956521739131
29,1,7.63,1.08,0.97,1.17,6.52,56,39,8.26,Medium,No,Mild,0,0.6299999999999999,1.4800000000000004,7.339449541284404
28,0,11.4,4.47,0.76,1.38,8.98,139,142,14.1,Medium,Yes,Moderate,1,2.6999999999999993,-0.9800000000000004,12.192982456140351
34,1,7.12,1.82,2.33,0.77,5.77,172,135,8.33,Low,Yes,Moderate,1,1.21,2.2300000000000004,24.157303370786515
26,2,9.55,4.7,1.46,2.7,7.07,69,107,11.43,Low,No,Severe,1,1.879999999999999,0.9299999999999997,7.225130890052355
26,2,10.43,3.93,2.44,1.21,4.94,115,101,12.32,Medium,Yes,Moderate,1,1.8900000000000006,3.0599999999999996,11.025886864813039
34,2,6.61,0.72,0.16,4.42,8.12,152,131,7.48,High,Yes,Moderate,1,0.8700000000000001,-0.11999999999999922,22.995461422087743
28,1,4.46,5.95,2.96,2.15,6.01,232,145,6.29,High,No,Severe,1,1.83,1.9900000000000002,52.01793721973094
29,2,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,Moderate,0,0.5699999999999994,-0.5399999999999991,40.63545150501672
19,1,8.25,1.44,2.52,3.91,8.29,57,77,8.83,High,Yes,Moderate,1,0.5800000000000001,-0.28999999999999915,6.909090909090909
32,2,5.82,1.33,2.76,2.76,7.99,140,30,8.08,High,Yes,Mild,0,2.26,0.009999999999999787,24.054982817869416
33,1,7.73,2.23,0.69,5.52,6.04,110,179,10.24,Medium,No,Mild,0,2.51,1.96,14.230271668822768
26,1,8.02,1.74,3.89,2.14,5.8,73,140,9.31,Medium,No,Severe,1,1.290000000000001,2.2,9.102244389027431
35,0,6.42,5.89,3.27,5.75,8.12,94,25,7.64,High,Yes,Severe,1,1.2199999999999998,-0.11999999999999922,14.641744548286605
26,1,9.73,1.68,3.31,1.99,7.03,89,50,10.5,High,Yes,Moderate,1,0.7699999999999996,0.9699999999999998,9.146968139773895
34,2,5.03,1.78,0.4,2.32,6.63,194,50,5.54,High,Yes,Mild,0,0.5099999999999998,1.37,38.56858846918489
33,0,7.3,1.6,3.86,2.27,7.41,216,37,9.43,Low,Yes,Mild,0,2.13,0.5899999999999999,29.589041095890412
23,0,11.41,0.7,3.34,4.83,5.34,211,89,14.1,Low,No,Moderate,1,2.6899999999999995,2.66,18.492550394390886
27,2,7.09,4.03,2.1,5.39,5.1,149,134,8.27,Low,No,Moderate,1,1.1799999999999997,2.9000000000000004,21.015514809590975
32,2,8.83,4.45,0.06,2.35,5.83,192,64,9.77,High,No,Severe,1,0.9399999999999995,2.17,21.7440543601359
28,0,3.78,4.18,0.74,1.27,5.96,83,16,4.93,Low,No,Severe,1,1.15,2.04,21.95767195767196
27,2,8.24,3.65,1.05,2.48,5.56,190,45,9.9,Low,No,Severe,1,1.6600000000000001,2.4400000000000004,23.058252427184467
21,2,8.75,5.67,1.47,1.71,8.81,142,54,10.39,High,No,Severe,1,1.6400000000000006,-0.8100000000000005,16.228571428571428
35,1,11.22,4.67,3.21,5.04,7.93,194,167,13.9,Low,No,Severe,1,2.6799999999999997,0.07000000000000028,17.29055258467023
21,1,3.56,3.51,2.02,3.65,5.17,103,148,5.16,High,Yes,Mild,0,1.6,2.83,28.93258426966292
34,0,7.01,0.81,0.53,2.78,7.04,163,133,9.19,Medium,Yes,Moderate,1,2.1799999999999997,0.96,23.25249643366619
18,0,9.71,3.68,0.18,2.39,4.79,35,32,12.68,Medium,Yes,Severe,1,2.969999999999999,3.21,3.6045314109165805
23,2,9.92,4.71,3.91,4.05,6.39,248,112,11.54,Medium,No,Moderate,1,1.6199999999999992,1.6100000000000003,25.0
35,2,4.2,5.23,0.47,5.96,6.27,52,72,6.79,Low,No,Severe,1,2.59,1.7300000000000004,12.38095238095238
35,1,6.82,2.59,0.92,3.03,5.2,68,43,7.4,High,No,Mild,0,0.5800000000000001,2.8,9.970674486803519
24,1,3.61,3.77,1.79,4.2,8.42,82,26,5.12,Low,Yes,Moderate,0,1.5100000000000002,-0.41999999999999993,22.714681440443215
34,0,11.94,1.79,3.67,3.67,7.1,217,97,13.03,Low,Yes,Severe,1,1.0899999999999999,0.9000000000000004,18.174204355108877
26,2,3.55,5.72,3.52,5.51,7.32,129,157,5.29,Medium,No,Severe,1,1.7400000000000002,0.6799999999999997,36.33802816901409
31,2,6.67,2.15,0.74,3.46,5.58,77,91,9.31,Low,No,Mild,0,2.6400000000000006,2.42,11.544227886056971
31,1,11.71,3.57,0.54,1.84,5.42,185,35,14.52,Medium,Yes,Moderate,1,2.8099999999999987,2.58,15.798462852263022
26,1,6.39,3.83,0.16,0.9,8.12,170,158,7.43,Low,No,Moderate,1,1.04,-0.11999999999999922,26.604068857589986
24,0,11.43,5.79,0.47,6.0,6.66,82,169,13.69,Medium,Yes,Severe,1,2.26,1.3399999999999999,7.1741032370953635
30,1,7.2,4.07,1.23,2.48,8.47,139,40,9.71,High,No,Severe,1,2.5100000000000007,-0.47000000000000064,19.305555555555554
29,1,5.82,0.75,3.46,4.58,4.57,161,164,7.77,Medium,No,Moderate,0,1.9499999999999993,3.4299999999999997,27.663230240549826
28,1,5.07,3.63,0.98,3.53,8.75,106,80,7.48,Medium,No,Mild,0,2.41,-0.75,20.907297830374752
29,0,4.52,4.46,1.95,5.54,6.94,184,30,6.33,Low,Yes,Moderate,1,1.8100000000000005,1.0599999999999996,40.707964601769916
22,1,10.58,1.77,2.83,0.55,6.78,115,30,12.62,High,No,Severe,1,2.039999999999999,1.2199999999999998,10.869565217391305
18,1,7.79,2.76,0.07,4.47,6.91,93,19,9.55,High,No,Mild,0,1.7600000000000007,1.0899999999999999,11.938382541720154
21,2,7.72,1.83,2.48,1.89,6.09,223,116,8.42,Medium,No,Mild,0,0.7000000000000002,1.9100000000000001,28.8860103626943
25,2,5.7,5.05,0.32,5.95,7.42,28,38,7.21,Medium,No,Moderate,1,1.5099999999999998,0.5800000000000001,4.912280701754386
18,2,9.33,0.95,3.38,4.05,5.99,239,39,12.07,Low,Yes,Moderate,1,2.74,2.01,25.616291532690248
33,2,5.44,5.58,2.74,2.04,6.94,188,23,6.39,Medium,Yes,Moderate,1,0.9499999999999993,1.0599999999999996,34.55882352941176
22,2,9.77,4.42,1.59,0.92,5.23,81,160,12.36,Medium,No,Severe,1,2.59,2.7699999999999996,8.290685772773797
22,0,10.11,4.29,0.31,4.6,6.06,45,126,11.19,Low,No,Severe,1,1.08,1.9400000000000004,4.451038575667656
18,2,8.71,4.81,1.8,1.75,6.99,116,125,9.67,High,No,Moderate,1,0.9599999999999991,1.0099999999999998,13.318025258323765
27,1,10.18,4.42,0.33,1.35,7.7,182,54,12.53,Medium,No,Moderate,1,2.3499999999999996,0.2999999999999998,17.87819253438114
18,1,11.49,2.95,3.05,1.06,4.89,130,129,13.38,High,No,Moderate,1,1.8900000000000006,3.1100000000000003,11.314186248912097
20,2,6.19,1.01,2.39,2.28,6.23,94,120,7.66,Low,Yes,Mild,0,1.4699999999999998,1.7699999999999996,15.18578352180937
30,1,4.53,1.98,1.07,1.3,5.25,90,122,5.78,Low,No,Mild,0,1.25,2.75,19.867549668874172
33,0,8.34,1.58,0.43,2.18,8.77,105,173,9.79,Medium,No,Severe,1,1.4499999999999993,-0.7699999999999996,12.589928057553957
22,0,5.7,3.82,2.78,3.13,5.3,121,96,6.93,High,No,Moderate,0,1.2299999999999995,2.7,21.228070175438596
30,2,5.52,4.82,1.46,5.63,5.4,159,61,7.72,High,Yes,Severe,1,2.2,2.5999999999999996,28.804347826086957
24,2,6.95,2.1,2.77,5.0,8.08,124,142,7.8,Medium,Yes,Moderate,1,0.8499999999999996,-0.08000000000000007,17.841726618705035
22,0,9.44,4.84,0.3,5.95,6.66,122,151,11.21,High,No,Moderate,1,1.7700000000000014,1.3399999999999999,12.923728813559324
35,0,8.34,5.53,0.44,1.87,7.49,62,180,10.37,High,No,Severe,1,2.0299999999999994,0.5099999999999998,7.434052757793765
21,0,3.09,1.92,2.04,3.35,7.11,167,71,4.7,Medium,No,Moderate,0,1.6100000000000003,0.8899999999999997,54.0453074433657
18,2,7.34,2.12,3.68,0.97,8.24,206,51,8.71,Medium,No,Mild,0,1.370000000000001,-0.2400000000000002,28.065395095367847
33,2,6.13,1.04,2.89,2.99,4.8,31,44,6.69,Medium,Yes,Mild,0,0.5600000000000005,3.2,5.057096247960849
