age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity,weekend_overuse,DEI,DEI_Category,attention_score,attention_category,addiction_level_num,NDI,dependency_category,attention_inverse,Aggression_Risk,Aggression_Category,Wellbeing_Score,Wellbeing_Category,Cluster,User_Segment,Recommendation
34,0,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1,2.0,0.0,18.27830188679245,2.0,38.75429292929293,Moderate,71.67871212121211,High,2,37.176811594202896,Moderate,28.321287878787885,37.24065490950442,Moderate,66.79357984877416,Average,2,High-Risk,Maintain current habits
27,2,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,Moderate,0,2.9399999999999995,0.2099999999999999,44.18604651162791,2.9399999999999995,31.035,Low,83.74449999999999,High,2,46.35823451910409,Moderate,16.255500000000012,33.3919238187722,Moderate,70.87416452336335,Excellent,2,High-Risk,Maintain current habits
33,2,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1,2.280000000000001,0.0,13.71527777777778,2.280000000000001,49.66469696969697,Moderate,62.2355909090909,Moderate,3,61.018181818181816,Moderate,37.7644090909091,55.38013678051541,Moderate,54.583846149589355,Average,0,Healthy,Maintain current habits
32,1,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,Moderate,0,0.6799999999999997,2.46,18.581907090464547,0.6799999999999997,28.027395382395383,Low,84.89678138528137,High,2,18.050527009222662,Low,15.103218614718628,19.598031365223704,Low,77.45237546335748,Excellent,2,High-Risk,Improve sleep schedule
19,1,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1,1.9399999999999995,2.54,4.934823091247672,1.9399999999999995,54.52201298701298,Moderate,59.13839610389611,Moderate,3,63.89143610013175,Moderate,40.86160389610389,59.63224815173536,Moderate,47.847891141628935,Average,1,At-Risk,Improve sleep schedule
21,1,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,Moderate,0,0.75,0.2199999999999997,49.61240310077519,0.75,20.638203463203464,Low,89.48353896103897,High,2,70.12391304347825,High,10.516461038961026,37.623789230665054,Moderate,69.7971598292154,Average,2,High-Risk,Disable non-essential notifications
24,2,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,Moderate,0,2.5200000000000005,2.38,8.280254777070065,2.5200000000000005,43.78227272727272,Moderate,75.50031818181819,High,2,37.211001317523056,Moderate,24.499681818181813,37.37444019609992,Moderate,64.27616097980768,Average,2,High-Risk,Improve sleep schedule
35,0,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1,1.0300000000000011,2.75,13.688212927756654,1.0300000000000011,80.58100288600288,High,37.54069913419914,Low,2,64.99380764163372,Moderate,62.45930086580086,78.36974744824289,High,31.61273537319584,Poor,1,At-Risk,Reduce daily screen time; Improve sleep schedule; Use focus sessions; Practice digital detox
18,0,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1,2.1500000000000004,1.5999999999999996,17.43892165122157,2.1500000000000004,64.72366522366522,Moderate,49.14290043290043,Moderate,2,80.86106719367588,High,50.85709956709957,74.78523880053535,High,37.57195456513834,Poor,1,At-Risk,Disable non-essential notifications; Improve sleep schedule; Practice digital detox
24,2,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1,1.7599999999999998,3.24,14.419795221843003,1.7599999999999998,77.39039682539682,High,40.507880952380944,Moderate,2,70.58603425559947,High,59.492119047619056,78.4179587581521,High,31.684864414522366,Poor,1,At-Risk,Reduce daily screen time; Disable non-essential notifications; Improve sleep schedule; Practice digital detox
20,0,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1,1.1199999999999992,1.6799999999999995,23.17073170731708,1.1199999999999992,44.271161616161606,Moderate,65.21365151515151,Moderate,2,85.567720685112,High,34.78634848484849,62.866832648200855,Moderate,48.27273601625252,Average,1,At-Risk,Disable non-essential notifications; Improve sleep schedule
34,0,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,Moderate,0,1.25,2.3,9.05982905982906,1.25,40.42619047619046,Moderate,73.84214285714287,High,2,52.27173913043477,Moderate,26.157857142857125,43.43611251018563,Moderate,60.776330535480454,Average,0,Healthy,Improve sleep schedule
21,2,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0,1.42,0.0,66.93989071038251,1.42,14.214848484848485,Low,96.74554545454544,High,1,48.49064558629777,Moderate,3.254454545454564,22.92934710182513,Low,80.79242033261818,Excellent,2,High-Risk,Maintain current habits
34,0,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1,0.79,0.0,17.58957654723127,0.79,24.84131313131313,Low,89.01760606060606,High,3,34.502700922266136,Moderate,10.982393939393944,23.85870562392023,Low,78.74560750731227,Excellent,2,High-Risk,Maintain current habits
24,1,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1,0.7299999999999986,1.2999999999999998,24.947145877378432,0.7299999999999986,44.91170274170273,Moderate,64.4964891774892,Moderate,2,53.89380764163373,Moderate,35.503510822510805,49.67986453955582,Moderate,56.59027985856096,Average,0,Healthy,Improve sleep schedule
28,0,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1,0.5200000000000014,1.0199999999999996,12.977867203219317,0.5200000000000014,51.43155122655122,Moderate,59.13553463203464,Moderate,2,65.98695652173913,Moderate,40.86446536796536,59.466764995864565,Moderate,49.74536652924508,Average,1,At-Risk,Improve sleep schedule
35,0,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,Moderate,0,2.75,0.0,55.42725173210162,2.75,20.4290404040404,Low,92.79628787878788,High,2,45.316139657444005,Moderate,7.203712121212121,25.39737340927049,Low,77.9387923197469,Excellent,2,High-Risk,Maintain current habits
35,1,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1,2.9399999999999995,0.0,21.98905109489051,2.9399999999999995,57.097373737373736,Moderate,58.15078787878788,Moderate,2,63.09407114624506,Moderate,41.84921212121212,60.60289163504803,Moderate,50.14164495478671,Average,1,At-Risk,Maintain current habits
28,1,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1,1.4600000000000009,2.38,5.976095617529881,1.4600000000000009,61.79050505050504,Moderate,53.04284848484849,Moderate,2,31.04756258234519,Low,46.95715151515151,50.534091172329234,Moderate,52.29560209050986,Average,0,Healthy,Improve sleep schedule
32,2,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1,1.1999999999999993,0.5300000000000002,19.83739837398374,1.1999999999999993,47.30357142857143,Moderate,67.04392857142857,Moderate,3,53.5899209486166,Moderate,32.956071428571434,49.29403689380638,Moderate,57.64519599049144,Average,0,Healthy,Maintain current habits
34,2,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1,1.950000000000001,2.9800000000000004,13.030303030303031,1.950000000000001,66.72402597402598,High,55.21279220779223,Moderate,2,33.08893280632411,Moderate,44.78720779220777,52.20799952609354,Moderate,50.45384467865232,Average,0,Healthy,Reduce daily screen time; Improve sleep schedule
31,2,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1,0.9799999999999996,2.9800000000000004,40.9165302782324,0.9799999999999996,55.09983405483406,Moderate,62.895049783549794,Moderate,2,78.8651515151515,High,37.104950216450206,64.71605775733619,Moderate,44.63311745472569,Average,1,At-Risk,Disable non-essential notifications; Improve sleep schedule
35,2,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1,2.0600000000000005,1.5599999999999996,20.697167755991288,2.0600000000000005,70.06261904761905,High,48.55621428571429,Moderate,3,68.98774703557312,High,51.44378571428571,71.74950015558626,High,38.93123509335696,Poor,1,At-Risk,Reduce daily screen time; Disable non-essential notifications; Improve sleep schedule; Practice digital detox
27,2,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1,2.1899999999999995,2.64,21.11111111111111,2.1899999999999995,60.29041125541125,Moderate,56.867876623376624,Moderate,3,71.44532279314888,High,43.132123376623376,65.8755075589639,Moderate,43.17736948068581,Average,1,At-Risk,Disable non-essential notifications; Improve sleep schedule
18,2,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,Moderate,0,2.1899999999999995,2.05,23.21116928446771,2.1899999999999995,42.21367965367966,Moderate,74.01589610389613,High,2,53.215349143610005,Moderate,25.984103896103875,44.39190706693535,Moderate,60.29949302898662,Average,0,Healthy,Improve sleep schedule
20,1,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1,1.0600000000000005,0.0,14.414414414414416,1.0600000000000005,34.94757575757576,Moderate,78.40572727272728,High,2,37.638010540184446,Moderate,21.594272727272724,33.25077159609975,Moderate,71.04960639497239,Excellent,2,High-Risk,Maintain current habits
25,1,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1,2.3000000000000007,0.0,14.080944350758854,2.3000000000000007,64.60328282828283,Moderate,49.69401515151516,Moderate,3,62.53017127799736,Moderate,50.30598484848484,66.57105354074922,High,44.75569155167198,Average,1,At-Risk,Practice digital detox
22,2,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1,0.9399999999999996,3.02,14.382022471910112,0.9399999999999996,49.59795093795094,Moderate,62.82061471861471,Moderate,2,45.64690382081687,Moderate,37.17938528138529,48.45169384701863,Moderate,55.029561839880515,Average,0,Healthy,Improve sleep schedule
25,1,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1,1.290000000000001,1.1100000000000003,14.476021314387213,1.290000000000001,45.99553391053391,Moderate,63.06633982683982,Moderate,3,82.7699604743083,High,36.93366017316018,63.16970143128536,Moderate,48.281571160864004,Average,1,At-Risk,Disable non-essential notifications; Improve sleep schedule
33,1,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1,1.1000000000000003,0.0,20.42553191489361,1.1000000000000003,45.32272727272727,Moderate,66.9531818181818,Moderate,3,74.55895915678525,High,33.0468181818182,57.72411431039568,Moderate,53.184863749356325,Average,0,Healthy,Disable non-essential notifications
26,0,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1,0.6600000000000001,1.7800000000000002,9.800664451827243,0.6600000000000001,45.67405483405483,Moderate,69.37778354978354,Moderate,3,37.42266139657443,Moderate,30.622216450216456,40.73255926140047,Moderate,62.0204051878964,Average,0,Healthy,Improve sleep schedule
19,0,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0,1.4499999999999993,0.3700000000000001,49.17695473251028,1.4499999999999993,32.69761904761905,Low,79.8207142857143,High,1,67.60790513833992,High,20.179285714285697,44.84316517911056,Moderate,63.15375371927497,Average,0,Healthy,Disable non-essential notifications
31,2,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1,1.7100000000000009,1.2999999999999998,11.35204081632653,1.7100000000000009,57.45443001443,Moderate,58.76367099567101,Moderate,3,57.11212121212122,Moderate,41.23632900432899,57.87556284355995,Moderate,49.86173512613557,Average,1,At-Risk,Improve sleep schedule
23,0,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1,2.16,0.0,16.193181818181817,2.16,68.83999999999999,High,47.82799999999999,Moderate,2,73.62371541501975,High,52.17200000000001,73.64232240734236,High,39.94730855589469,Poor,1,At-Risk,Reduce daily screen time; Disable non-essential notifications; Practice digital detox
23,0,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,Moderate,0,2.38,0.0700000000000002,33.91304347826087,2.38,21.295,Low,92.66649999999998,High,2,38.07147562582346,Moderate,7.333500000000015,22.616615572093767,Low,79.39941253902123,Excellent,2,High-Risk,Maintain current habits
18,2,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1,2.390000000000001,3.1900000000000004,19.096509240246405,2.390000000000001,62.84286435786436,Moderate,54.25214069264069,Moderate,2,46.11541501976285,Moderate,45.74785930735931,56.90908930230274,Moderate,47.61547971902814,Average,1,At-Risk,Improve sleep schedule
22,0,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,Moderate,0,0.92,1.41,16.504854368932037,0.92,31.066435786435783,Low,81.52006926406926,High,2,40.91403162055336,Moderate,18.479930735930736,31.993333995186283,Low,70.29760540922322,Excellent,2,High-Risk,Improve sleep schedule
21,2,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1,0.6899999999999995,1.81,24.72594397076736,0.6899999999999995,60.34124098124097,Moderate,54.97762770562771,Moderate,2,54.637220026350455,Moderate,45.02237229437229,59.42054691983897,Moderate,47.75745202313213,Average,1,At-Risk,Improve sleep schedule
27,1,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1,1.5700000000000005,0.0,10.140845070422534,1.5700000000000005,50.23,Moderate,60.70099999999999,Moderate,3,69.98978919631092,High,39.29900000000001,60.11535412933063,Moderate,50.657539041338225,Average,1,At-Risk,Disable non-essential notifications
31,0,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1,1.59,0.0,19.32692307692308,1.59,45.37414141414141,Moderate,63.72775757575758,Moderate,3,63.14953886693018,Moderate,36.27224242424242,54.1760068854212,Moderate,55.24848311299271,Average,0,Healthy,Maintain current habits
31,1,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1,1.1099999999999994,0.0,8.724832214765101,1.1099999999999994,49.377626262626265,Moderate,61.861712121212136,Moderate,3,62.58162055335968,Moderate,38.13828787878786,56.1166735276669,Moderate,53.99028193088511,Average,0,Healthy,Maintain current habits
33,1,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1,2.25,1.97,22.98311444652908,2.25,54.71648629148629,Moderate,59.39005411255411,Moderate,2,86.74822134387352,High,40.60994588744589,69.4898654497328,High,42.394770574660036,Average,1,At-Risk,Disable non-essential notifications; Improve sleep schedule; Practice digital detox
25,0,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1,2.4800000000000004,0.5899999999999999,15.295358649789028,2.4800000000000004,56.29370129870129,Moderate,58.56688961038962,Moderate,2,61.50355731225295,Moderate,41.43311038961038,59.45755146978333,Moderate,49.68729737552347,Average,1,At-Risk,Maintain current habits
25,0,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0,1.33,1.59,36.458333333333336,1.33,42.40950216450216,Moderate,72.58214935064936,High,1,63.21001317523056,Moderate,27.41785064935064,49.39873519320219,Moderate,57.530456350042826,Average,0,Healthy,Improve sleep schedule
26,2,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1,0.9799999999999996,0.0,38.65877712031558,0.9799999999999996,31.16545454545454,Low,82.17036363636363,High,3,55.20230566534914,Moderate,17.829636363636368,37.93763646031117,Moderate,68.90863885242895,Average,2,High-Risk,Maintain current habits
34,1,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1,2.2700000000000014,1.88,11.589008363201913,2.2700000000000014,71.53119047619047,High,48.89564285714286,Moderate,2,28.803754940711457,Low,51.10435714285714,54.715103267117485,Moderate,48.93787875988532,Average,1,At-Risk,Reduce daily screen time; Improve sleep schedule
35,1,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1,1.21,3.04,4.085257548845471,1.21,60.405115440115445,Moderate,59.70346536796537,Moderate,3,50.80955204216073,Moderate,40.29653463203463,55.77151064268114,Moderate,49.242123745526435,Average,0,Healthy,Improve sleep schedule
19,1,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1,2.2200000000000006,1.29,31.6888045540797,2.2200000000000006,45.7746608946609,Moderate,72.70760173160173,High,3,75.30441370223978,High,27.29239826839828,55.75185850215575,Moderate,53.65495378004397,Average,0,Healthy,Disable non-essential notifications; Improve sleep schedule
25,0,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1,1.63,2.4800000000000004,37.59213759213759,1.63,48.018448773448775,Moderate,71.37946536796537,High,3,57.598221343873526,Moderate,28.62053463203464,49.43064403572788,Moderate,55.99498654289353,Average,0,Healthy,Improve sleep schedule
19,1,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1,0.8900000000000006,2.55,22.261484098939928,0.8900000000000006,65.45642857142857,Moderate,50.96807142857144,Moderate,2,46.60981554677207,Moderate,49.03192857142856,59.4309455526197,Moderate,46.13970934346692,Average,1,At-Risk,Improve sleep schedule
31,0,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0,0.6800000000000006,0.3200000000000003,28.22695035460993,0.6800000000000006,36.087207792207785,Moderate,74.08883766233765,High,1,58.59519104084321,Moderate,25.911162337662347,44.561109646131904,Moderate,62.481644695560924,Average,0,Healthy,Maintain current habits
21,1,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1,1.99,3.18,7.848101265822785,1.99,68.4438023088023,High,51.841859307359314,Moderate,3,46.1034255599473,Moderate,48.158140692640686,59.87758775767067,Moderate,45.059283939367155,Average,1,At-Risk,Reduce daily screen time; Improve sleep schedule
32,1,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1,0.6000000000000014,1.2800000000000002,4.347826086956522,0.6000000000000014,58.75039682539682,Moderate,53.85988095238096,Moderate,3,60.831357048748345,Moderate,46.14011904761904,62.02608919621613,Moderate,46.720180290182995,Average,1,At-Risk,Improve sleep schedule
20,0,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1,1.9400000000000004,3.41,42.4901185770751,1.9400000000000004,58.72046176046176,Moderate,62.80386147186146,Moderate,3,62.53148880105401,Moderate,37.19613852813854,58.94058786527617,Moderate,47.40365706144077,Average,1,At-Risk,Improve sleep schedule
23,0,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1,1.299999999999999,1.38,10.359231411862991,1.299999999999999,65.02813852813853,Moderate,47.13155844155844,Moderate,3,63.80638998682476,Moderate,52.86844155844156,68.36326319541074,High,41.486665423756335,Average,1,At-Risk,Improve sleep schedule; Practice digital detox
33,0,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1,1.3100000000000005,1.4500000000000002,17.88908765652952,1.3100000000000005,53.359300144300136,Moderate,64.04720995670995,Moderate,3,45.066337285902506,Moderate,35.95279004329005,48.9848705938085,Moderate,56.063339904686174,Average,0,Healthy,Improve sleep schedule
19,1,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0,1.8699999999999992,0.08,15.351812366737738,1.8699999999999992,29.129819624819618,Low,83.50605411255412,High,1,25.15395256916996,Low,16.493945887445875,23.64967518079434,Low,77.11111953660819,Excellent,2,High-Risk,Maintain current habits
18,2,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1,0.7300000000000004,1.0199999999999996,13.690476190476192,0.7300000000000004,58.44251082251082,Moderate,52.00724675324675,Moderate,2,65.61712779973648,Moderate,47.99275324675325,64.78083883447958,Moderate,45.13099493522709,Average,1,At-Risk,Improve sleep schedule
22,2,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1,1.6400000000000006,0.0,18.69158878504673,1.6400000000000006,45.030202020202026,Moderate,68.6009393939394,Moderate,2,46.395718050065874,Moderate,31.3990606060606,44.72526601945865,Moderate,61.59479780019934,Average,0,Healthy,Maintain current habits
34,2,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1,1.17,0.0,11.008230452674896,1.17,32.92242424242425,Low,74.72327272727271,High,3,66.80276679841897,High,25.276727272727285,46.74482092357689,Moderate,62.15409925935543,Average,0,Healthy,Disable non-essential notifications
33,1,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1,2.83,0.0700000000000002,10.750695088044486,2.83,56.04626262626261,Moderate,57.84612121212122,Moderate,3,67.19808959156785,High,42.15387878787878,62.14449533043266,Moderate,48.51097848919224,Average,1,At-Risk,Disable non-essential notifications
31,1,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1,1.7399999999999998,1.7599999999999998,55.75221238938053,1.7399999999999998,42.22017316017316,Moderate,76.21394805194805,High,3,49.42799736495389,Moderate,23.78605194805195,41.81754423732914,Moderate,62.390910016950976,Average,0,Healthy,Improve sleep schedule
32,2,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1,1.6700000000000004,0.0,15.128205128205128,1.6700000000000004,31.10272727272727,Low,84.69918181818181,High,3,26.46508563899868,Low,15.300818181818189,24.394670403901262,Low,77.1018550388878,Excellent,2,High-Risk,Maintain current habits
20,2,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1,2.68,2.08,19.025304592314903,2.68,80.35167388167388,High,40.18449783549784,Moderate,2,74.43418972332016,High,59.81550216450216,81.25124969378392,High,30.812905481499264,Poor,1,At-Risk,Reduce daily screen time; Disable non-essential notifications; Improve sleep schedule; Practice digital detox
27,1,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1,1.6099999999999994,0.6500000000000004,20.28380634390651,1.6099999999999994,66.10832611832612,High,47.097502164502174,Moderate,2,61.70447957839262,Moderate,52.90249783549783,67.84304132379376,High,42.43481700552154,Average,1,At-Risk,Reduce daily screen time; Practice digital detox
28,0,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1,0.92,1.1100000000000003,16.125860373647985,0.92,46.97437229437229,Moderate,62.70768831168833,Moderate,2,51.12061923583661,Moderate,37.29231168831167,49.9581769656628,Moderate,56.24086302789668,Average,0,Healthy,Improve sleep schedule
22,0,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1,2.1900000000000004,0.0,27.308447937131632,2.1900000000000004,35.44232323232323,Moderate,80.41730303030305,High,3,52.07687747035572,Moderate,19.58269696969696,38.81773862643836,Moderate,67.57657381297321,Average,2,High-Risk,Maintain current habits
27,2,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1,0.7699999999999996,2.6,13.485714285714286,0.7699999999999996,51.38916305916305,Moderate,61.97325108225108,Moderate,3,65.58728590250328,Moderate,38.02674891774892,58.0697420221934,Moderate,49.31676607605489,Average,0,Healthy,Improve sleep schedule
27,1,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1,2.78,0.0,68.4375,2.78,34.62050505050505,Moderate,84.28384848484849,High,3,48.161396574440055,Moderate,15.716151515151507,35.1890242245796,Moderate,70.10939533425334,Excellent,2,High-Risk,Maintain current habits
29,0,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0,2.0700000000000003,0.0499999999999998,39.034205231388334,2.0700000000000003,21.499552669552667,Low,89.94013419913422,High,1,37.18583662714097,Moderate,10.05986580086578,23.465994442697628,Low,78.60008560051926,Excellent,2,High-Risk,Maintain current habits
19,1,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1,0.8300000000000001,0.1399999999999996,7.78588807785888,0.8300000000000001,41.63818181818182,Moderate,68.96854545454545,Moderate,3,41.21383399209486,Moderate,31.03145454545455,41.14590518360226,Moderate,63.726365605858874,Average,0,Healthy,Maintain current habits
26,2,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1,1.67,0.0,20.03561887800534,1.67,69.95146464646464,High,44.979560606060616,Moderate,2,58.56383399209486,Moderate,55.02043939393938,68.72129725366713,High,42.40504063373299,Average,1,At-Risk,Reduce daily screen time; Practice digital detox
